Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Annual Income_nan,Years in current job_nan,Bankruptcies_nan,Credit Score_nan,Term_Long Term,Term_Short Term,Credit Default
Home Mortgage,1.3516131495623087,10+ years,-0.11095342154390785,1.3993951557462996,0.8638150706722498,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3490911341502104,1.3925924173716557,0.9976166581972477,-0.22099253414342865,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,7 years,-0.11095342154390785,-1.2490195281557193,-1.2238153364303956,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3699547513298288,-0.8709078795381686,-1.3411449773763837,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,-0.40875006908465633,1 year,-0.11095342154390785,-0.026674289431710546,-0.13029464699567664,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,business loan,Short Term,-0.3609897704581639,-0.7535066598917604,1.8322657805441545,-0.2265565436254781,1,0,0,1,0,1,1
Rent,-0.538287674743463,4 years,-0.11095342154390785,-0.23039849588571198,-1.2380169038256517,-1.0979841422359848,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36631197410731975,-0.6731071484740317,-0.706060342791747,-0.2362935602190647,0,0,0,0,0,1,1
Rent,0.42934293008910535,2 years,-0.11095342154390785,0.9919467428382966,-0.6557526406201519,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3581429462610044,1.3988091825667812,2.0740071327368543,4.029910710142366,0,0,0,0,1,0,1
Home Mortgage,-0.40875006908465633,2 years,-0.11095342154390785,-0.23039849588571198,0.6081868575576406,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.34756400696044876,1.6986485500547566,0.06142442884189151,-0.2265565436254781,1,0,0,1,0,1,0
Rent,0.0495947719825887,1 year,-0.11095342154390785,-0.23039849588571198,-0.7267604775964324,0.03617849340497979,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3605728426829808,-0.5080639878611329,-1.2705427510335972,-0.22933854836650286,0,0,0,0,0,1,0
Rent,0.336547977350677,10+ years,-0.11095342154390785,-0.4341227023397134,0.721799396719689,0.2318039275175857,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,0.3167931556728729,-0.17721445022173085,-0.22586104244022193,0,0,0,0,0,1,0
Own Home,1.266867998471759,7 years,-0.11095342154390785,-0.026674289431710546,-0.08768994480990826,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3661169483876886,3.4119651271959754,3.3571732487982078,-0.22099253414342865,0,0,0,0,0,1,0
Rent,0.13861175032799428,5 years,-0.11095342154390785,0.1770499170222909,-0.0024805404383715026,-0.8800893505413766,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3614432224847267,-0.21725088522377237,0.7770056635323178,-0.2536810898504693,0,0,0,0,0,1,0
Rent,-0.040459297372666264,9 years,-0.11095342154390785,-0.6378469087937149,0.04012416174739688,-1.0671669504305876,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.5077651049190596,0.7230058609613506,-0.2265565436254781,0,0,0,0,0,1,0
Rent,0.15747692965001645,5 years,-0.11095342154390785,0.5844983299302937,-0.9255824211300175,-0.6525220095939797,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3579568793200136,0.007628640392209232,0.7324809815988028,-0.25507209222098165,0,0,0,0,1,0,0
Home Mortgage,0.035248346346338874,7 years,-0.11095342154390785,2.2142919815623054,-0.669954208015408,-0.4724926238889713,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.35969212582895754,-0.3078124166719946,1.295202526713339,-0.22794754599599049,0,0,0,0,1,0,1
Own Home,-0.40875006908465633,9 years,-0.11095342154390785,-0.6378469087937149,-0.5563416688533591,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3486445734918325,1.4674327060668202,0.2685354728640796,-0.2265565436254781,1,0,0,1,0,1,1
Own Home,-0.40875006908465633,10+ years,-0.11095342154390785,-0.23039849588571198,0.02592259435214058,-0.524379477245017,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36091603281858603,-0.35599234693421716,-0.4919896968854126,-0.2265565436254781,1,0,0,1,1,0,1
Home Mortgage,0.819239764506291,10+ years,-0.11095342154390785,-0.8415711152477163,0.18213983569995779,-0.21298337610678308,-0.3409788778582933,-0.3370990397177327,home improvements,Long Term,2.76051988315993,-0.3814571735988658,0.13638688769040816,-0.2355980590338085,0,0,0,0,1,0,0
Rent,-0.7325200053023978,10+ years,-0.11095342154390785,-0.8415711152477163,0.23894610528098198,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3625520436256683,0.4254669934107396,-0.7756563616332111,-0.25994060051777496,0,1,0,0,1,0,0
Home Mortgage,-0.7479529072346803,3 years,-0.11095342154390785,-0.4341227023397134,-0.016682107833627797,-0.07614304753050645,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36678058714388917,-0.35617167669946115,-0.4465426580756855,-0.23212055310752758,0,0,0,0,0,1,0
Own Home,-0.5815244927969456,1 year,-0.11095342154390785,1.3993951557462996,-1.465241982149749,-0.6942864276854789,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.36706588978674176,-0.3831906946628912,-0.5946228620202945,-0.24185756970111416,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,2 years,-0.11095342154390785,-0.026674289431710546,-0.32911659052926173,0.7209799843020398,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.34726698899168196,-0.09662172980297203,-0.6495450214674738,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,0.5878696987375114,5 years,-0.11095342154390785,-0.6378469087937149,-0.47113226448182266,-0.8021091085033889,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36912089577946255,-0.4182197754738867,-0.5080051662814603,-0.22586104244022193,0,0,0,0,0,1,0
Home Mortgage,1.6104908197351886,10+ years,-0.11095342154390785,-0.026674289431710546,0.3099539422572624,0.8422242644707189,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3515830528858504,-0.002234496696211013,1.038451912625914,-0.22794754599599049,0,0,0,0,1,0,1
Rent,-0.40875006908465633,2 years,-0.11095342154390785,1.3993951557462996,-1.2238153364303956,-0.5106579538864096,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36749108720374674,-0.4941958193489299,0.827986843599318,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.6859249877884505,1 year,-0.11095342154390785,-1.656467941063722,-1.1812106342446274,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3643086533759853,-0.6595976394923168,-1.0712298151466575,-0.23281605429278376,0,0,0,0,0,1,1
Home Mortgage,-0.40875006908465633,1 year,-0.11095342154390785,-0.23039849588571198,-0.2013024839719571,1.4071311332343728,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36182500428216713,1.0802597429050147,0.6114006789396775,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.7360016679783208,10+ years,-0.11095342154390785,-1.4527437346097205,1.2614589577394206,-0.42233033357799643,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36849515954827866,-0.057886500510267065,-0.9389135287227658,-0.2529855886652131,0,0,0,0,0,1,0
Rent,-0.6841471174858514,5 years,-0.11095342154390785,0.3807741234762923,-0.982388690711042,-0.5606702821934652,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3653258193200684,-0.04168704504989199,-0.5669521557339292,4.349841255360211,0,0,0,0,0,1,1
Home Mortgage,-0.5399667744736952,6 years,-0.11095342154390785,-0.8415711152477163,2.568003158102981,-1.1629176899330016,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.364919917733981,-0.5308986446355362,-0.49794309126823666,-0.22447004006970958,0,0,0,0,0,1,0
Rent,0.5623128131376516,3 years,-0.11095342154390785,2.621740394470308,0.6507915597434084,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3615424581865885,0.40627870852963116,0.19164444963802837,-0.23768456258957707,0,0,0,0,0,1,1
Own Home,-0.8011902457402821,10+ years,-0.11095342154390785,-0.8415711152477163,-0.25810875355298124,0.1286300688211711,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3612606012278283,0.36628817088021814,-0.5748341144942878,-0.23907556496008942,0,1,0,0,1,0,1
Home Mortgage,-0.5696226388267693,2 years,-0.11095342154390785,-0.23039849588571198,-0.4853338318770787,-0.3041602744896611,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36216061391276905,-0.13643293768714101,-0.3774497429848827,-0.248812581553676,0,0,0,0,1,0,1
Home Mortgage,0.7558537496900202,2 years,-0.11095342154390785,-0.6378469087937149,1.0342338794153234,-0.2810661258861032,-0.3409788778582933,-0.3370990397177327,home improvements,Short Term,-0.3676909368811072,0.0748773023587109,1.5798753989624597,-0.22586104244022193,0,0,0,0,0,1,0
Rent,-0.8939111205494354,4 years,-0.11095342154390785,-0.6378469087937149,-0.2155040513672129,-1.1629176899330016,1.6647792271904904,2.545731972691612,moving,Short Term,2.76051988315993,-0.6908010186447735,-0.47345870873605894,-0.23072955073701523,0,0,0,0,0,1,0
Home Mortgage,-0.4306524435069517,10+ years,-0.11095342154390785,1.3993951557462996,0.23894610528098198,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35954671796025733,-0.23781403163841822,-0.004649863744944194,-0.24185756970111416,0,0,0,0,0,1,0
Rent,-0.40875006908465633,3 years,-0.11095342154390785,2.0105677751083038,-0.45693069708656664,-0.8965101899705299,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36527413405868203,-0.2226307781810925,-0.27766749910374755,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-0.40875006908465633,9 years,-0.11095342154390785,-0.4341227023397134,-0.1871009165767008,0.34697474652753685,-0.3409788778582933,-0.3370990397177327,business loan,Long Term,-0.3619883297081479,0.41948933456927284,-0.213354069644226,-0.2265565436254781,1,0,0,1,1,0,0
Home Mortgage,-0.40875006908465633,8 years,-0.11095342154390785,-0.4341227023397134,1.2472573903441648,-0.47166783286741565,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36381729882440583,0.17566063042584143,-0.24940983844161096,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.6378731043320955,5 years,-0.11095342154390785,-0.4341227023397134,-0.016682107833627797,-0.5926871700302159,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36013179511915067,-0.022319430403539512,-0.6932311971498868,-0.28636964555750993,0,0,0,0,1,0,1
Home Mortgage,0.28163153911484284,10+ years,-0.11095342154390785,-0.026674289431710546,0.7502025315102014,-0.4201558845211679,-0.3409788778582933,-0.3370990397177327,medical bills,Long Term,-0.3583124739183516,-0.7248736740411343,0.2889111747658576,-0.23072955073701523,0,0,0,0,1,0,1
Home Mortgage,-0.40875006908465633,4 years,-0.11095342154390785,-0.23039849588571198,-0.40012442750554217,-1.1548197417213644,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36134812160377583,-0.5866702016264216,0.012204111902205522,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,2.213781475750431,10+ years,-0.11095342154390785,0.1770499170222909,2.0709482992690176,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,business loan,Short Term,-0.3576984530130819,0.947077503917134,0.34509109358969,-0.22168803532868483,0,0,0,0,0,1,1
Rent,-0.6093037162750542,7 years,-0.11095342154390785,-1.656467941063722,-1.3516294429877003,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,small business,Short Term,-0.3650901345281467,-0.9118548426022163,-1.0447330176118352,-0.22794754599599049,0,0,0,0,0,1,0
Rent,1.8242303383365288,< 1 year,-0.11095342154390785,0.5844983299302937,-0.22970561876246917,-0.4052346651312068,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3572980645215424,-0.034992067147449166,2.163978853480096,-0.22933854836650286,0,0,0,0,0,1,1
Home Mortgage,-0.42862764677343623,4 years,-0.11095342154390785,0.7882225363842952,1.4886840360635183,0.0859658787061566,5.676295437288058,8.3113939975103,debt consolidation,Short Term,-0.3615376342288591,-0.5520595569343287,0.26451064285879006,-0.22864304718124667,0,0,0,0,0,1,0
Own Home,-0.5849320775435936,1 year,-0.11095342154390785,-0.4341227023397134,-1.6356607908928222,-0.4703181748321428,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.22777156478475397,0.1482936764560562,-0.2237745388844534,0,0,0,0,0,1,0
Rent,-0.5458930088156917,9 years,-0.11095342154390785,0.1770499170222909,-0.25810875355298124,0.506234394689735,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36987618973252157,-0.7888346236448293,-1.31833760734641,-0.22864304718124667,0,0,0,0,0,1,0
Home Mortgage,-0.8630453166848705,< 1 year,-0.11095342154390785,-0.4341227023397134,0.8780166380675061,0.25339845608195155,-0.3409788778582933,-0.3370990397177327,business loan,Short Term,-0.3671851104563396,-0.18467264453777824,-0.4311141430554091,-0.24742157918316363,0,0,0,0,0,1,0
Rent,0.2802487511017103,2 years,-0.11095342154390785,-0.4341227023397134,-0.9681871233157859,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.7723960618307956,-1.2223286415952337,-0.23768456258957707,0,0,0,0,0,1,0
Rent,-0.40875006908465633,9 years,-0.11095342154390785,-1.2490195281557193,-0.49953539927233476,-1.0149801730667036,-0.3409788778582933,-0.3370990397177327,buy house,Short Term,-0.3688335257261545,-0.648000981339871,-0.8553983061130089,-0.2265565436254781,1,0,0,1,0,1,1
Rent,0.08996724343743978,10+ years,-0.11095342154390785,1.8068435686543023,-0.5421401014581031,-0.4074840951899949,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36374011550073554,0.1825947146819429,0.979504923173445,4.148145911635917,0,0,0,0,0,1,1
Rent,0.3090897582327599,4 years,-0.11095342154390785,-1.4527437346097205,0.011721026956884288,-1.1629176899330016,3.6705373322392743,2.545731972691612,debt consolidation,Short Term,-0.36502053170947973,-0.4781159170653842,0.5485965607321395,-0.24116206851585797,0,0,0,0,0,1,1
Own Home,-0.40875006908465633,10+ years,-0.11095342154390785,-1.0452953217017178,0.8070088010912256,0.09676314298833953,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.365966716561259,-0.07235243490661676,-0.8863391867786719,-0.2265565436254781,1,0,0,1,1,0,0
Home Mortgage,-0.26387833206593386,5 years,-0.11095342154390785,0.3807741234762923,-0.3717212927150301,1.302832559508564,-0.3409788778582933,-0.3370990397177327,wedding,Short Term,-0.3671051705853954,0.6224906288254859,0.1804084658732619,-0.24950808273893219,0,0,0,0,0,1,0
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,-0.8415711152477163,0.579783722767128,-1.034775157584039,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3671375600158642,-0.39783595882448486,-0.5074182119056889,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,0.3807741234762923,1.2756605251346769,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,home improvements,Short Term,-0.36682607017390917,4.580298547760664,2.9565349620216836,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,-0.40875006908465633,6 years,-0.11095342154390785,2.0105677751083038,-0.2155040513672129,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3594957218356895,0.5011441543437095,0.789415556048627,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.9278388121573654,1 year,-0.11095342154390785,0.3807741234762923,-0.8971792863395054,-0.5708676984599712,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3671816647722472,-0.02471049394012624,0.04566051132117436,-0.26133160288828733,0,0,0,0,0,1,0
Home Mortgage,1.053202557799694,10+ years,-0.11095342154390785,-0.23039849588571198,-0.0024805404383715026,0.4072594721030582,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,0.3378345147948361,0.7765864104067668,-0.2230790376991972,0,0,0,0,0,1,0
Rent,-0.2582484094410372,9 years,-0.11095342154390785,-0.8415711152477163,-0.996590258106298,-0.7971603623740551,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,2.76051988315993,-0.24259615871159165,0.337460686704662,-0.248812581553676,0,0,0,0,1,0,0
Home Mortgage,-0.40875006908465633,1 year,-0.11095342154390785,0.1770499170222909,-0.6273495058296397,-0.6208050457650672,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3649295656494398,-0.30237274712625983,0.749083405370622,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-1.015719928920555,6 years,-0.11095342154390785,-1.2490195281557193,-0.42852756229605427,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3658867766903148,-0.6335350469435214,-1.2639185516498916,-0.22864304718124667,0,0,0,0,0,1,0
Home Mortgage,0.5736467363167198,1 year,3.5711291518158657,2.0105677751083038,-0.11609307960042034,-0.4979111835532769,3.6705373322392743,2.545731972691612,debt consolidation,Short Term,-0.3621854228382345,-0.0512512991962389,0.29687698415132635,4.335931231655087,0,0,0,0,0,1,1
Rent,-0.6767393245583558,7 years,-0.11095342154390785,-0.4341227023397134,0.9632260424390429,-0.42697915569949185,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36952748650236844,0.17368800300815737,-0.5277100631823568,-0.2536810898504693,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,0.1770499170222909,-0.6557526406201519,-0.542149974709443,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36170509447575083,-0.5017874460775927,0.30635210478877867,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,-0.47361764248642624,5 years,-0.11095342154390785,0.5844983299302937,-0.11609307960042034,-1.0430230677995953,-0.3409788778582933,-0.3370990397177327,business loan,Short Term,-0.3611496502000523,-0.6784272648429371,-0.1541555283164265,-0.2265565436254781,0,0,0,0,0,1,0
Rent,-0.40875006908465633,4 years,-0.11095342154390785,-1.0452953217017178,-0.9681871233157859,-1.0520207880347479,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36651526946877266,-0.3928147253976527,-0.7000230977838129,-0.2265565436254781,1,0,0,1,0,1,1
Own Home,-0.8091165841727024,10+ years,-0.11095342154390785,0.1770499170222909,-0.1586977817861887,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36287249224626356,-0.4610795893672038,-0.4542569155858237,-0.2703731182966177,0,0,0,0,1,0,1
Home Mortgage,0.6517742590587069,4 years,-0.11095342154390785,-0.6378469087937149,1.2614589577394206,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35168228858771217,2.2094394980580963,0.42307217494217375,-0.23351155547803995,0,0,0,0,0,1,0
Home Mortgage,-0.6957032744527446,2 years,-0.11095342154390785,0.7882225363842952,-1.0960012298730908,-0.9660175787870824,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36228052371918534,-0.6005383701386245,-0.13889471454637053,-0.2355980590338085,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,5 years,-0.11095342154390785,-0.026674289431710546,2.781026669031822,-0.14235127226083646,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.36704108086127635,-0.5995819447239898,0.4748918612602758,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,0.24735815050362983,4 years,-0.11095342154390785,0.5844983299302937,-0.2013024839719571,-0.02448113718033955,1.6647792271904904,2.545731972691612,debt consolidation,Long Term,-0.3592552130860384,-0.4474505272086594,0.8131452829548129,-0.28011013489020425,0,0,0,0,1,0,0
Home Mortgage,0.7971645415823541,5 years,-0.11095342154390785,-0.6378469087937149,0.3809617792335429,-0.2173322742204401,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3634934045197181,0.37507532937717436,0.9568652543936916,-0.21960153177291628,0,0,0,0,0,1,0
Rent,-0.6868139229397499,7 years,-0.11095342154390785,1.603119362200301,-1.436838847359237,-0.4064343611625605,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3650694604235922,-0.43184883763243104,-1.0864067782916034,-0.23003404955175905,0,0,0,0,0,1,1
Home Mortgage,1.5172020141349274,10+ years,-0.11095342154390785,2.8254646009243096,0.5087758857908475,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35722570515560154,3.097480495546406,2.678150886655828,4.4611214450012,0,0,0,0,0,1,1
Home Mortgage,-0.40875006908465633,3 years,-0.11095342154390785,-0.4341227023397134,1.2330558229489084,-1.088686497992994,9.687811647385626,-0.3370990397177327,debt consolidation,Short Term,-0.3482876006198575,-0.6565490334831686,-0.048839143178018324,-0.2265565436254781,1,0,0,1,0,1,1
Rent,0.6133278137650047,< 1 year,-0.11095342154390785,1.1956709492922981,-0.5279385340628471,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3553960469025252,0.7520264959200718,0.6238105714559867,-0.23072955073701523,0,0,0,0,0,1,0
Own Home,5.7553978890999,10+ years,-0.11095342154390785,-1.0452953217017178,-0.14449621439093244,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3581071111464432,4.884740712556569,2.0847400127509594,-0.23212055310752758,0,0,0,0,1,0,0
Rent,-0.40875006908465633,6 years,-0.11095342154390785,-0.23039849588571198,-1.1102027972683468,-0.8699669152768301,-0.3409788778582933,-0.3370990397177327,other,Long Term,-0.36516387216772456,-0.8800536975656129,-0.8781218255178725,-0.2265565436254781,1,0,0,1,1,0,1
Rent,0.3225225560746186,6 years,-0.11095342154390785,-0.4341227023397134,-0.38592286011028615,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36080577092762856,-0.6913987845289201,0.9052971199509201,-0.2237745388844534,0,0,0,0,0,1,0
Own Home,1.213852893753982,1 year,-0.11095342154390785,-0.026674289431710546,0.9490244750437866,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.353512635977607,0.6516018273834293,2.0909449590091143,4.217696030161536,0,0,0,0,1,0,1
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,0.9919467428382966,0.7644040989054572,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3584461664611376,1.9793594092500384,0.48763715627702586,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.7374338412776366,1 year,-0.11095342154390785,0.1770499170222909,-0.7835667471774566,-0.8734160413669719,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3677054087542954,-0.5717260545227545,-0.21880436027638886,-0.22586104244022193,0,0,0,0,0,1,0
Rent,-0.9465805282639292,10+ years,-0.11095342154390785,-0.23039849588571198,-1.1386059320588588,-0.8921612918568729,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36514457633680697,-0.25610566769330667,-0.8407244467187244,-0.23351155547803995,0,0,0,0,0,1,1
Own Home,-0.8149934332285156,5 years,-0.11095342154390785,0.9919467428382966,-1.0391949602920663,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3635809248956656,0.1625695575630291,-0.3468442648196606,-0.23281605429278376,0,0,0,0,0,1,1
Rent,-0.18639281804432978,2 years,-0.11095342154390785,0.7882225363842952,1.0484354468105792,-0.8625437960828294,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3687735708229464,-0.5784210324251974,-0.22861488341428196,-0.24116206851585797,0,0,0,0,0,1,0
Home Mortgage,-0.20417152107031925,3 years,-0.11095342154390785,-1.0452953217017178,0.7928072336959694,-1.142222933392151,-0.3409788778582933,-0.3370990397177327,other,Long Term,-0.3651080520854273,-0.7290580352301611,0.0028966925149735896,-0.2703731182966177,0,0,0,0,1,0,1
